Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,Text Area 2
1,Page,,,,,,,,,New Page,
2,MinimalTextBlock,Default,1,,,,,,,enter username and password,
3,Start,UML,1,,,,,,,,
4,Process,Data Flow,1,,,,,,,waiting,do:display home page
5,Process,Data Flow,1,,,,,,,Log in ,do: display login screen
6,Text,Default,1,,60,,,,,bank state diagram,
7,Text,Default,1,,60,,,,,"Karim El Hammady  |  December 12, 2018",
8,Process,Data Flow,1,,,,,,,transfer funds,do : recieve / send funds to a specific account(s)
9,Process,Data Flow,1,,,,,,,view bills,do: display due/recently paid bills
10,MinimalTextBlock,Default,1,,,,,,,Authentication confirmed,
11,Process,Data Flow,1,,,,,,,account details,do:display account information/services
12,MinimalTextBlock,Default,1,,,,,,,account info,
13,Process,Data Flow,1,,,,,,,pay bills,do: pay selected due bills/ dectate late fees
14,Process,Data Flow,1,,,,,,,funds details,do: recieve detailed funds information
15,Process,Data Flow,1,,,,,,,check balance,do: view account balance
16,Process,Data Flow,1,,,,,,,Withdraw,do: Withdraw Request
17,Process,Data Flow,1,,,,,,,Deposit,do: Make Deposit
18,MinimalTextBlock,Default,1,,,,,,,verify request,
19,Process,Data Flow,1,,,,,,,view salary,do: view client salary
20,Process,Data Flow,1,,,,,,,request loan,do: request amount
21,Process,Data Flow,1,,,,,,,verify loan,do: verify/confrim loan
22,Process,Data Flow,1,,,,,,,cheques,do: access cheque services
23,Process,Data Flow,1,,,,,,,cheque services,do: issue  / cash cheques
24,MinimalTextBlock,Default,1,,,,,,,check balance,
25,MinimalTextBlock,Default,1,,,,,,,withdraw   ,
26,MinimalTextBlock,Default,1,,,,,,,salary,
27,MinimalTextBlock,Default,1,,,,,,,deposit,
28,MinimalTextBlock,Default,1,,,,,,,cheques,
29,MinimalTextBlock,Default,1,,,,,,,transfers,
30,MinimalTextBlock,Default,1,,,,,,,bills,
31,MinimalTextBlock,Default,1,,,,,,,request loan,
32,MinimalTextBlock,Default,1,,,,,,,verfication,
33,MinimalTextBlock,Default,1,,,,,,,cheque services,
34,MinimalTextBlock,Default,1,,,,,,,funds details,
35,MinimalTextBlock,Default,1,,,,,,,bill payment,
36,Process,Data Flow,1,,,,,,,waiting,do:display home page
37,MinimalTextBlock,Default,1,,,,,,,exit,
38,Line,,1,,60,6,6,None,None,,
39,Line,,1,,,3,5,None,Arrow,,
40,Line,,1,,,5,4,None,Arrow,,
41,Line,,1,,,5,5,None,Arrow,,
42,Line,,1,,,4,11,None,Arrow,,
43,Line,,1,,,11,8,None,Arrow,,
44,Line,,1,,,11,9,None,Arrow,,
45,Line,,1,,,9,13,None,Arrow,,
46,Line,,1,,,8,14,None,Arrow,,
47,Line,,1,,,11,15,None,Arrow,,
48,Line,,1,,,15,16,None,Arrow,,
49,Line,,1,,,15,19,None,Arrow,,
50,Line,,1,,,19,20,None,Arrow,,
51,Line,,1,,,22,23,None,Arrow,,
52,Line,,1,,,20,21,None,Arrow,,
53,Line,,1,,,15,17,None,Arrow,,
54,Line,,1,,,11,22,None,Arrow,,
55,Line,,1,,,13,36,None,Arrow,,
56,Line,,1,,,14,36,None,Arrow,,
57,Line,,1,,,23,36,None,Arrow,,
58,Line,,1,,,21,36,None,Arrow,,
59,Line,,1,,,20,36,None,Arrow,,
60,Group 1,,1,,,,,,,,
